,Date,Hour,RENEWABLES,NUCLEAR,THERMAL,IMPORTS,HYDRO
0,01/01/18,1,2028,2260,7236,7501,2102
1,01/01/18,2,2073,2259,6702,7453,2043
2,01/01/18,3,1924,2260,6266,7498,2033
3,01/01/18,4,1875,2261,6191,7333,1958
4,01/01/18,5,1922,2261,6384,7026,2046
5,01/01/18,6,1910,2262,6366,7458,2061
6,01/01/18,7,2066,2262,6357,7865,2117
7,01/01/18,8,2980,2262,5832,7658,1928
8,01/01/18,9,5880,2263,4664,5988,1779
9,01/01/18,10,7914,2263,4544,4000,1573
10,01/01/18,11,8495,2263,4492,3274,1601
11,01/01/18,12,8523,2263,4487,3373,1547
12,01/01/18,13,8699,2261,4395,3280,1597
13,01/01/18,14,8334,2260,4562,3698,1646
14,01/01/18,15,6728,2260,5184,4822,1873
15,01/01/18,16,4236,2259,6142,6547,2065
16,01/01/18,17,2274,2259,7376,8271,2501
17,01/01/18,18,2179,2260,8482,9316,3372
18,01/01/18,19,2243,2261,8254,9563,3684
19,01/01/18,20,2232,2261,7876,9500,3784
20,01/01/18,21,2232,2262,7556,9518,3443
21,01/01/18,22,2143,2263,7724,8906,2891
22,01/01/18,23,2081,2262,7220,8457,2435
23,01/01/18,24,2013,2262,6375,8132,2085
24,01/02/18,1,2007,2262,5909,8011,1866
25,01/02/18,2,1969,2261,5630,7596,1921
26,01/02/18,3,1943,2261,5507,7479,1892
27,01/02/18,4,1934,2261,5600,7425,1924
28,01/02/18,5,1875,2261,6036,7490,1930
29,01/02/18,6,1915,2262,6854,7633,2214
30,01/02/18,7,1980,2263,7687,8562,2453
31,01/02/18,8,2493,2262,8150,8652,2665
32,01/02/18,9,3990,2262,8492,7584,2428
33,01/02/18,10,5736,2263,8052,6724,2050
34,01/02/18,11,6538,2262,7489,6568,1817
35,01/02/18,12,7353,2261,7036,6134,1825
36,01/02/18,13,7676,2261,6944,6018,1822
37,01/02/18,14,7653,2260,6943,6155,1876
38,01/02/18,15,6664,2259,7849,6435,1979
39,01/02/18,16,4481,2259,8963,7471,2439
40,01/02/18,17,2548,2258,9942,8500,3229
41,01/02/18,18,2231,2259,11475,9058,3741
42,01/02/18,19,2447,2260,11131,9306,3685
43,01/02/18,20,2528,2260,10435,9271,3621
44,01/02/18,21,2487,2261,10017,8823,3649
45,01/02/18,22,2374,2262,9492,8659,3188
46,01/02/18,23,2301,2264,8526,8408,2617
47,01/02/18,24,2242,2264,7421,8333,2212
48,01/03/18,1,2211,2262,6243,8671,2101
49,01/03/18,2,2206,2262,5427,8688,2096
50,01/03/18,3,2120,2262,5298,8446,2087
51,01/03/18,4,2010,2261,5572,8209,2073
52,01/03/18,5,2002,2261,5938,8140,2133
53,01/03/18,6,2012,2261,6629,8272,2539
54,01/03/18,7,2074,2262,7666,8694,3185
55,01/03/18,8,2462,2261,8082,8864,3405
56,01/03/18,9,3882,2263,7818,8789,2569
57,01/03/18,10,5312,2264,7770,7927,2400
58,01/03/18,11,6438,2263,7372,7470,2344
59,01/03/18,12,5868,2262,7743,7967,2122
60,01/03/18,13,5008,2261,8139,8485,2297
61,01/03/18,14,4007,2260,8333,8648,3100
62,01/03/18,15,3774,2259,8557,8584,3152
63,01/03/18,16,2749,2259,9029,8916,3393
64,01/03/18,17,2209,2258,10026,8952,3587
