,LMP,ba_name,freq,market,timestamp
0,22.67626,CAISO,5min,RTM,2018-01-01 00:00:00+00:00
1,22.71841,CAISO,5min,RTM,2018-01-01 00:05:00+00:00
2,22.95886,CAISO,5min,RTM,2018-01-01 00:10:00+00:00
3,23.61981,CAISO,5min,RTM,2018-01-01 00:15:00+00:00
4,23.89228,CAISO,5min,RTM,2018-01-01 00:20:00+00:00
5,25.9624,CAISO,5min,RTM,2018-01-01 00:25:00+00:00
6,27.15286,CAISO,5min,RTM,2018-01-01 00:30:00+00:00
7,28.22765,CAISO,5min,RTM,2018-01-01 00:35:00+00:00
8,29.55615,CAISO,5min,RTM,2018-01-01 00:40:00+00:00
9,28.48492,CAISO,5min,RTM,2018-01-01 00:45:00+00:00
10,30.25644,CAISO,5min,RTM,2018-01-01 00:50:00+00:00
11,31.37819,CAISO,5min,RTM,2018-01-01 00:55:00+00:00
12,24.21944,CAISO,5min,RTM,2018-01-01 01:00:00+00:00
13,28.44409,CAISO,5min,RTM,2018-01-01 01:05:00+00:00
14,32.19477,CAISO,5min,RTM,2018-01-01 01:10:00+00:00
15,31.19546,CAISO,5min,RTM,2018-01-01 01:15:00+00:00
16,31.14128,CAISO,5min,RTM,2018-01-01 01:20:00+00:00
17,32.20811,CAISO,5min,RTM,2018-01-01 01:25:00+00:00
18,31.16984,CAISO,5min,RTM,2018-01-01 01:30:00+00:00
19,32.25486,CAISO,5min,RTM,2018-01-01 01:35:00+00:00
20,32.27544,CAISO,5min,RTM,2018-01-01 01:40:00+00:00
21,32.25777,CAISO,5min,RTM,2018-01-01 01:45:00+00:00
22,32.25777,CAISO,5min,RTM,2018-01-01 01:50:00+00:00
23,32.26113,CAISO,5min,RTM,2018-01-01 01:55:00+00:00
24,32.09797,CAISO,5min,RTM,2018-01-01 02:00:00+00:00
25,32.20011,CAISO,5min,RTM,2018-01-01 02:05:00+00:00
26,32.20011,CAISO,5min,RTM,2018-01-01 02:10:00+00:00
27,32.13093,CAISO,5min,RTM,2018-01-01 02:15:00+00:00
28,32.13093,CAISO,5min,RTM,2018-01-01 02:20:00+00:00
29,32.13093,CAISO,5min,RTM,2018-01-01 02:25:00+00:00
30,32.03317,CAISO,5min,RTM,2018-01-01 02:30:00+00:00
31,32.12785,CAISO,5min,RTM,2018-01-01 02:35:00+00:00
32,32.20954,CAISO,5min,RTM,2018-01-01 02:40:00+00:00
33,31.68415,CAISO,5min,RTM,2018-01-01 02:45:00+00:00
34,31.57262,CAISO,5min,RTM,2018-01-01 02:50:00+00:00
35,31.33816,CAISO,5min,RTM,2018-01-01 02:55:00+00:00
36,31.75215,CAISO,5min,RTM,2018-01-01 03:00:00+00:00
37,31.86483,CAISO,5min,RTM,2018-01-01 03:05:00+00:00
38,31.30002,CAISO,5min,RTM,2018-01-01 03:10:00+00:00
39,31.39726,CAISO,5min,RTM,2018-01-01 03:15:00+00:00
40,31.39726,CAISO,5min,RTM,2018-01-01 03:20:00+00:00
41,31.38346,CAISO,5min,RTM,2018-01-01 03:25:00+00:00
42,29.95644,CAISO,5min,RTM,2018-01-01 03:30:00+00:00
43,29.46849,CAISO,5min,RTM,2018-01-01 03:35:00+00:00
44,29.10471,CAISO,5min,RTM,2018-01-01 03:40:00+00:00
45,29.48783,CAISO,5min,RTM,2018-01-01 03:45:00+00:00
46,28.70965,CAISO,5min,RTM,2018-01-01 03:50:00+00:00
47,28.70965,CAISO,5min,RTM,2018-01-01 03:55:00+00:00
48,29.51524,CAISO,5min,RTM,2018-01-01 04:00:00+00:00
49,29.51524,CAISO,5min,RTM,2018-01-01 04:05:00+00:00
50,29.8417,CAISO,5min,RTM,2018-01-01 04:10:00+00:00
51,28.72716,CAISO,5min,RTM,2018-01-01 04:15:00+00:00
52,28.66693,CAISO,5min,RTM,2018-01-01 04:20:00+00:00
53,25.70148,CAISO,5min,RTM,2018-01-01 04:25:00+00:00
54,27.96223,CAISO,5min,RTM,2018-01-01 04:30:00+00:00
55,27.26203,CAISO,5min,RTM,2018-01-01 04:35:00+00:00
56,28.69427,CAISO,5min,RTM,2018-01-01 04:40:00+00:00
57,27.96794,CAISO,5min,RTM,2018-01-01 04:45:00+00:00
58,27.96794,CAISO,5min,RTM,2018-01-01 04:50:00+00:00
59,27.2539,CAISO,5min,RTM,2018-01-01 04:55:00+00:00
60,31.59594,CAISO,5min,RTM,2018-01-01 05:00:00+00:00
61,31.82924,CAISO,5min,RTM,2018-01-01 05:05:00+00:00
62,29.9603,CAISO,5min,RTM,2018-01-01 05:10:00+00:00
63,29.70808,CAISO,5min,RTM,2018-01-01 05:15:00+00:00
64,29.97611,CAISO,5min,RTM,2018-01-01 05:20:00+00:00
65,29.57903,CAISO,5min,RTM,2018-01-01 05:25:00+00:00
66,29.00646,CAISO,5min,RTM,2018-01-01 05:30:00+00:00
67,28.23665,CAISO,5min,RTM,2018-01-01 05:35:00+00:00
68,28.34933,CAISO,5min,RTM,2018-01-01 05:40:00+00:00
69,28.0683,CAISO,5min,RTM,2018-01-01 05:45:00+00:00
70,28.17196,CAISO,5min,RTM,2018-01-01 05:50:00+00:00
71,29.34379,CAISO,5min,RTM,2018-01-01 05:55:00+00:00
72,34.66628,CAISO,5min,RTM,2018-01-01 06:00:00+00:00
73,41.56324,CAISO,5min,RTM,2018-01-01 06:05:00+00:00
74,41.56324,CAISO,5min,RTM,2018-01-01 06:10:00+00:00
75,53.79255,CAISO,5min,RTM,2018-01-01 06:15:00+00:00
76,52.05,CAISO,5min,RTM,2018-01-01 06:20:00+00:00
77,51.95129,CAISO,5min,RTM,2018-01-01 06:25:00+00:00
78,51.17281,CAISO,5min,RTM,2018-01-01 06:30:00+00:00
79,45.76558,CAISO,5min,RTM,2018-01-01 06:35:00+00:00
80,41.55966,CAISO,5min,RTM,2018-01-01 06:40:00+00:00
81,34.24825,CAISO,5min,RTM,2018-01-01 06:45:00+00:00
82,35.34754,CAISO,5min,RTM,2018-01-01 06:50:00+00:00
83,39.23234,CAISO,5min,RTM,2018-01-01 06:55:00+00:00
84,50.33434,CAISO,5min,RTM,2018-01-01 07:00:00+00:00
85,54.46019,CAISO,5min,RTM,2018-01-01 07:05:00+00:00
86,50.33434,CAISO,5min,RTM,2018-01-01 07:10:00+00:00
87,50.36208,CAISO,5min,RTM,2018-01-01 07:15:00+00:00
88,50.36208,CAISO,5min,RTM,2018-01-01 07:20:00+00:00
89,50.36208,CAISO,5min,RTM,2018-01-01 07:25:00+00:00
90,50.06542,CAISO,5min,RTM,2018-01-01 07:30:00+00:00
91,43.60333,CAISO,5min,RTM,2018-01-01 07:35:00+00:00
92,35.69192,CAISO,5min,RTM,2018-01-01 07:40:00+00:00
93,32.81475,CAISO,5min,RTM,2018-01-01 07:45:00+00:00
94,32.0239,CAISO,5min,RTM,2018-01-01 07:50:00+00:00
95,32.0239,CAISO,5min,RTM,2018-01-01 07:55:00+00:00
96,39.79787,CAISO,5min,RTM,2018-01-01 08:00:00+00:00
97,54.90865,CAISO,5min,RTM,2018-01-01 08:05:00+00:00
98,54.90865,CAISO,5min,RTM,2018-01-01 08:10:00+00:00
99,54.54971,CAISO,5min,RTM,2018-01-01 08:15:00+00:00
100,54.88295,CAISO,5min,RTM,2018-01-01 08:20:00+00:00
101,482.53441,CAISO,5min,RTM,2018-01-01 08:25:00+00:00
102,69.76006,CAISO,5min,RTM,2018-01-01 08:30:00+00:00
103,70.38399,CAISO,5min,RTM,2018-01-01 08:35:00+00:00
104,69.76006,CAISO,5min,RTM,2018-01-01 08:40:00+00:00
105,55.71342,CAISO,5min,RTM,2018-01-01 08:45:00+00:00
106,54.69031,CAISO,5min,RTM,2018-01-01 08:50:00+00:00
107,44.72312,CAISO,5min,RTM,2018-01-01 08:55:00+00:00
108,54.65514,CAISO,5min,RTM,2018-01-01 09:00:00+00:00
109,44.63604,CAISO,5min,RTM,2018-01-01 09:05:00+00:00
110,44.63604,CAISO,5min,RTM,2018-01-01 09:10:00+00:00
111,44.39271,CAISO,5min,RTM,2018-01-01 09:15:00+00:00
112,42.46445,CAISO,5min,RTM,2018-01-01 09:20:00+00:00
113,54.30093,CAISO,5min,RTM,2018-01-01 09:25:00+00:00
114,45.09474,CAISO,5min,RTM,2018-01-01 09:30:00+00:00
115,42.37183,CAISO,5min,RTM,2018-01-01 09:35:00+00:00
116,42.37596,CAISO,5min,RTM,2018-01-01 09:40:00+00:00
117,40.27453,CAISO,5min,RTM,2018-01-01 09:45:00+00:00
118,39.89943,CAISO,5min,RTM,2018-01-01 09:50:00+00:00
119,40.08698,CAISO,5min,RTM,2018-01-01 09:55:00+00:00
120,41.6719,CAISO,5min,RTM,2018-01-01 10:00:00+00:00
121,39.06234,CAISO,5min,RTM,2018-01-01 10:05:00+00:00
122,36.86194,CAISO,5min,RTM,2018-01-01 10:10:00+00:00
123,32.75701,CAISO,5min,RTM,2018-01-01 10:15:00+00:00
124,36.79064,CAISO,5min,RTM,2018-01-01 10:20:00+00:00
125,36.79064,CAISO,5min,RTM,2018-01-01 10:25:00+00:00
126,36.76403,CAISO,5min,RTM,2018-01-01 10:30:00+00:00
127,35.78117,CAISO,5min,RTM,2018-01-01 10:35:00+00:00
128,34.83757,CAISO,5min,RTM,2018-01-01 10:40:00+00:00
129,34.13638,CAISO,5min,RTM,2018-01-01 10:45:00+00:00
130,34.89442,CAISO,5min,RTM,2018-01-01 10:50:00+00:00
131,33.26478,CAISO,5min,RTM,2018-01-01 10:55:00+00:00
132,38.97416,CAISO,5min,RTM,2018-01-01 11:00:00+00:00
133,38.38167,CAISO,5min,RTM,2018-01-01 11:05:00+00:00
134,36.78607,CAISO,5min,RTM,2018-01-01 11:10:00+00:00
135,37.99092,CAISO,5min,RTM,2018-01-01 11:15:00+00:00
136,36.73485,CAISO,5min,RTM,2018-01-01 11:20:00+00:00
137,36.73485,CAISO,5min,RTM,2018-01-01 11:25:00+00:00
138,41.08174,CAISO,5min,RTM,2018-01-01 11:30:00+00:00
139,41.10613,CAISO,5min,RTM,2018-01-01 11:35:00+00:00
140,41.10613,CAISO,5min,RTM,2018-01-01 11:40:00+00:00
141,41.1144,CAISO,5min,RTM,2018-01-01 11:45:00+00:00
142,41.67892,CAISO,5min,RTM,2018-01-01 11:50:00+00:00
143,41.96312,CAISO,5min,RTM,2018-01-01 11:55:00+00:00
144,41.64894,CAISO,5min,RTM,2018-01-01 12:00:00+00:00
145,41.64894,CAISO,5min,RTM,2018-01-01 12:05:00+00:00
146,41.85258,CAISO,5min,RTM,2018-01-01 12:10:00+00:00
147,68.1734,CAISO,5min,RTM,2018-01-01 12:15:00+00:00
148,55.13166,CAISO,5min,RTM,2018-01-01 12:20:00+00:00
149,55.13166,CAISO,5min,RTM,2018-01-01 12:25:00+00:00
150,55.15866,CAISO,5min,RTM,2018-01-01 12:30:00+00:00
151,37.79149,CAISO,5min,RTM,2018-01-01 12:35:00+00:00
152,44.32678,CAISO,5min,RTM,2018-01-01 12:40:00+00:00
153,45.71885,CAISO,5min,RTM,2018-01-01 12:45:00+00:00
154,45.52617,CAISO,5min,RTM,2018-01-01 12:50:00+00:00
155,55.0565,CAISO,5min,RTM,2018-01-01 12:55:00+00:00
156,31.68379,CAISO,5min,RTM,2018-01-01 13:00:00+00:00
157,31.5468,CAISO,5min,RTM,2018-01-01 13:05:00+00:00
158,31.85248,CAISO,5min,RTM,2018-01-01 13:10:00+00:00
159,32.63266,CAISO,5min,RTM,2018-01-01 13:15:00+00:00
160,32.59,CAISO,5min,RTM,2018-01-01 13:20:00+00:00
161,33.71763,CAISO,5min,RTM,2018-01-01 13:25:00+00:00
162,35.66414,CAISO,5min,RTM,2018-01-01 13:30:00+00:00
163,38.29103,CAISO,5min,RTM,2018-01-01 13:35:00+00:00
164,41.13121,CAISO,5min,RTM,2018-01-01 13:40:00+00:00
165,41.17583,CAISO,5min,RTM,2018-01-01 13:45:00+00:00
166,42.13889,CAISO,5min,RTM,2018-01-01 13:50:00+00:00
167,47.95153,CAISO,5min,RTM,2018-01-01 13:55:00+00:00
168,45.00897,CAISO,5min,RTM,2018-01-01 14:00:00+00:00
169,44.59516,CAISO,5min,RTM,2018-01-01 14:05:00+00:00
170,42.46211,CAISO,5min,RTM,2018-01-01 14:10:00+00:00
171,44.57156,CAISO,5min,RTM,2018-01-01 14:15:00+00:00
172,43.2704,CAISO,5min,RTM,2018-01-01 14:20:00+00:00
173,44.69819,CAISO,5min,RTM,2018-01-01 14:25:00+00:00
174,44.97631,CAISO,5min,RTM,2018-01-01 14:30:00+00:00
175,44.1516,CAISO,5min,RTM,2018-01-01 14:35:00+00:00
176,44.61543,CAISO,5min,RTM,2018-01-01 14:40:00+00:00
177,43.81103,CAISO,5min,RTM,2018-01-01 14:45:00+00:00
178,44.80115,CAISO,5min,RTM,2018-01-01 14:50:00+00:00
179,42.26552,CAISO,5min,RTM,2018-01-01 14:55:00+00:00
180,44.42139,CAISO,5min,RTM,2018-01-01 15:00:00+00:00
181,39.96855,CAISO,5min,RTM,2018-01-01 15:05:00+00:00
182,39.96855,CAISO,5min,RTM,2018-01-01 15:10:00+00:00
183,35.04697,CAISO,5min,RTM,2018-01-01 15:15:00+00:00
184,31.9605,CAISO,5min,RTM,2018-01-01 15:20:00+00:00
185,31.67272,CAISO,5min,RTM,2018-01-01 15:25:00+00:00
186,30.94016,CAISO,5min,RTM,2018-01-01 15:30:00+00:00
187,27.10668,CAISO,5min,RTM,2018-01-01 15:35:00+00:00
188,26.6209,CAISO,5min,RTM,2018-01-01 15:40:00+00:00
189,25.16347,CAISO,5min,RTM,2018-01-01 15:45:00+00:00
190,25.0136,CAISO,5min,RTM,2018-01-01 15:50:00+00:00
