,LMP,ba_name,freq,market,timestamp
0,21.85832,CAISO,5min,RTPD,2018-01-01 00:00:00+00:00
1,23.7787,CAISO,5min,RTPD,2018-01-01 00:15:00+00:00
2,34.03911,CAISO,5min,RTPD,2018-01-01 00:30:00+00:00
3,57.45928,CAISO,5min,RTPD,2018-01-01 00:45:00+00:00
4,36.26021,CAISO,5min,RTPD,2018-01-01 01:00:00+00:00
5,42.4667,CAISO,5min,RTPD,2018-01-01 01:15:00+00:00
6,43.47756,CAISO,5min,RTPD,2018-01-01 01:30:00+00:00
7,43.68821,CAISO,5min,RTPD,2018-01-01 01:45:00+00:00
8,41.9502,CAISO,5min,RTPD,2018-01-01 02:00:00+00:00
9,48.30569,CAISO,5min,RTPD,2018-01-01 02:15:00+00:00
10,43.25308,CAISO,5min,RTPD,2018-01-01 02:30:00+00:00
11,37.65364,CAISO,5min,RTPD,2018-01-01 02:45:00+00:00
12,48.54442,CAISO,5min,RTPD,2018-01-01 03:00:00+00:00
13,42.22018,CAISO,5min,RTPD,2018-01-01 03:15:00+00:00
14,36.12655,CAISO,5min,RTPD,2018-01-01 03:30:00+00:00
15,33.02863,CAISO,5min,RTPD,2018-01-01 03:45:00+00:00
16,33.40899,CAISO,5min,RTPD,2018-01-01 04:00:00+00:00
17,30.42184,CAISO,5min,RTPD,2018-01-01 04:15:00+00:00
18,30.18376,CAISO,5min,RTPD,2018-01-01 04:30:00+00:00
19,26.0,CAISO,5min,RTPD,2018-01-01 04:45:00+00:00
20,34.3153,CAISO,5min,RTPD,2018-01-01 05:00:00+00:00
21,31.55337,CAISO,5min,RTPD,2018-01-01 05:15:00+00:00
22,28.75982,CAISO,5min,RTPD,2018-01-01 05:30:00+00:00
23,25.0,CAISO,5min,RTPD,2018-01-01 05:45:00+00:00
24,29.19069,CAISO,5min,RTPD,2018-01-01 06:00:00+00:00
25,26.59502,CAISO,5min,RTPD,2018-01-01 06:15:00+00:00
26,25.2,CAISO,5min,RTPD,2018-01-01 06:30:00+00:00
27,28.40266,CAISO,5min,RTPD,2018-01-01 06:45:00+00:00
28,35.28884,CAISO,5min,RTPD,2018-01-01 07:00:00+00:00
29,29.99,CAISO,5min,RTPD,2018-01-01 07:15:00+00:00
30,29.52098,CAISO,5min,RTPD,2018-01-01 07:30:00+00:00
31,27.86784,CAISO,5min,RTPD,2018-01-01 07:45:00+00:00
32,38.58936,CAISO,5min,RTPD,2018-01-01 08:00:00+00:00
33,38.94974,CAISO,5min,RTPD,2018-01-01 08:15:00+00:00
34,33.75564,CAISO,5min,RTPD,2018-01-01 08:30:00+00:00
35,37.86981,CAISO,5min,RTPD,2018-01-01 08:45:00+00:00
36,40.73195,CAISO,5min,RTPD,2018-01-01 09:00:00+00:00
37,41.78471,CAISO,5min,RTPD,2018-01-01 09:15:00+00:00
38,42.72447,CAISO,5min,RTPD,2018-01-01 09:30:00+00:00
39,39.91908,CAISO,5min,RTPD,2018-01-01 09:45:00+00:00
40,36.79015,CAISO,5min,RTPD,2018-01-01 10:00:00+00:00
41,36.81139,CAISO,5min,RTPD,2018-01-01 10:15:00+00:00
42,30.48704,CAISO,5min,RTPD,2018-01-01 10:30:00+00:00
43,32.36959,CAISO,5min,RTPD,2018-01-01 10:45:00+00:00
44,37.21954,CAISO,5min,RTPD,2018-01-01 11:00:00+00:00
45,36.74227,CAISO,5min,RTPD,2018-01-01 11:15:00+00:00
46,36.7115,CAISO,5min,RTPD,2018-01-01 11:30:00+00:00
47,36.66721,CAISO,5min,RTPD,2018-01-01 11:45:00+00:00
48,36.67847,CAISO,5min,RTPD,2018-01-01 12:00:00+00:00
49,36.67516,CAISO,5min,RTPD,2018-01-01 12:15:00+00:00
50,38.19367,CAISO,5min,RTPD,2018-01-01 12:30:00+00:00
51,38.8378,CAISO,5min,RTPD,2018-01-01 12:45:00+00:00
52,32.73396,CAISO,5min,RTPD,2018-01-01 13:00:00+00:00
53,38.98616,CAISO,5min,RTPD,2018-01-01 13:15:00+00:00
54,38.96726,CAISO,5min,RTPD,2018-01-01 13:30:00+00:00
55,39.9558,CAISO,5min,RTPD,2018-01-01 13:45:00+00:00
56,32.29407,CAISO,5min,RTPD,2018-01-01 14:00:00+00:00
57,39.22186,CAISO,5min,RTPD,2018-01-01 14:15:00+00:00
58,42.33421,CAISO,5min,RTPD,2018-01-01 14:30:00+00:00
59,39.13092,CAISO,5min,RTPD,2018-01-01 14:45:00+00:00
60,35.99959,CAISO,5min,RTPD,2018-01-01 15:00:00+00:00
61,32.67926,CAISO,5min,RTPD,2018-01-01 15:15:00+00:00
62,26.71852,CAISO,5min,RTPD,2018-01-01 15:30:00+00:00
63,24.71774,CAISO,5min,RTPD,2018-01-01 15:45:00+00:00
64,29.57178,CAISO,5min,RTPD,2018-01-01 16:00:00+00:00
65,25.73203,CAISO,5min,RTPD,2018-01-01 16:15:00+00:00
66,22.94822,CAISO,5min,RTPD,2018-01-01 16:30:00+00:00
67,22.85886,CAISO,5min,RTPD,2018-01-01 16:45:00+00:00
68,25.19424,CAISO,5min,RTPD,2018-01-01 17:00:00+00:00
69,24.27013,CAISO,5min,RTPD,2018-01-01 17:15:00+00:00
70,22.1901,CAISO,5min,RTPD,2018-01-01 17:30:00+00:00
71,22.50361,CAISO,5min,RTPD,2018-01-01 17:45:00+00:00
72,24.91803,CAISO,5min,RTPD,2018-01-01 18:00:00+00:00
73,23.60251,CAISO,5min,RTPD,2018-01-01 18:15:00+00:00
74,23.38748,CAISO,5min,RTPD,2018-01-01 18:30:00+00:00
75,22.4861,CAISO,5min,RTPD,2018-01-01 18:45:00+00:00
76,22.72877,CAISO,5min,RTPD,2018-01-01 19:00:00+00:00
77,22.83833,CAISO,5min,RTPD,2018-01-01 19:15:00+00:00
78,22.82107,CAISO,5min,RTPD,2018-01-01 19:30:00+00:00
79,22.01623,CAISO,5min,RTPD,2018-01-01 19:45:00+00:00
80,22.00416,CAISO,5min,RTPD,2018-01-01 20:00:00+00:00
81,21.91987,CAISO,5min,RTPD,2018-01-01 20:15:00+00:00
82,21.90356,CAISO,5min,RTPD,2018-01-01 20:30:00+00:00
83,22.04759,CAISO,5min,RTPD,2018-01-01 20:45:00+00:00
84,21.8892,CAISO,5min,RTPD,2018-01-01 21:00:00+00:00
85,22.05562,CAISO,5min,RTPD,2018-01-01 21:15:00+00:00
86,22.11879,CAISO,5min,RTPD,2018-01-01 21:30:00+00:00
87,22.44746,CAISO,5min,RTPD,2018-01-01 21:45:00+00:00
88,22.61897,CAISO,5min,RTPD,2018-01-01 22:00:00+00:00
89,22.78552,CAISO,5min,RTPD,2018-01-01 22:15:00+00:00
90,25.4052,CAISO,5min,RTPD,2018-01-01 22:30:00+00:00
91,30.3126,CAISO,5min,RTPD,2018-01-01 22:45:00+00:00
92,21.46577,CAISO,5min,RTPD,2018-01-01 23:00:00+00:00
93,24.87543,CAISO,5min,RTPD,2018-01-01 23:15:00+00:00
94,32.3023,CAISO,5min,RTPD,2018-01-01 23:30:00+00:00
95,50.44085,CAISO,5min,RTPD,2018-01-01 23:45:00+00:00
96,23.86461,CAISO,5min,RTPD,2018-01-02 00:00:00+00:00
97,26.71758,CAISO,5min,RTPD,2018-01-02 00:15:00+00:00
98,31.22556,CAISO,5min,RTPD,2018-01-02 00:30:00+00:00
99,42.05004,CAISO,5min,RTPD,2018-01-02 00:45:00+00:00
100,31.03496,CAISO,5min,RTPD,2018-01-02 01:00:00+00:00
101,32.42665,CAISO,5min,RTPD,2018-01-02 01:15:00+00:00
102,33.40878,CAISO,5min,RTPD,2018-01-02 01:30:00+00:00
103,32.45172,CAISO,5min,RTPD,2018-01-02 01:45:00+00:00
104,34.98264,CAISO,5min,RTPD,2018-01-02 02:00:00+00:00
105,32.49488,CAISO,5min,RTPD,2018-01-02 02:15:00+00:00
106,33.87445,CAISO,5min,RTPD,2018-01-02 02:30:00+00:00
107,33.91642,CAISO,5min,RTPD,2018-01-02 02:45:00+00:00
108,37.40929,CAISO,5min,RTPD,2018-01-02 03:00:00+00:00
109,36.99,CAISO,5min,RTPD,2018-01-02 03:15:00+00:00
110,35.65904,CAISO,5min,RTPD,2018-01-02 03:30:00+00:00
111,35.3102,CAISO,5min,RTPD,2018-01-02 03:45:00+00:00
112,40.02978,CAISO,5min,RTPD,2018-01-02 04:00:00+00:00
113,43.77747,CAISO,5min,RTPD,2018-01-02 04:15:00+00:00
114,36.9902,CAISO,5min,RTPD,2018-01-02 04:30:00+00:00
115,33.1001,CAISO,5min,RTPD,2018-01-02 04:45:00+00:00
116,46.46424,CAISO,5min,RTPD,2018-01-02 05:00:00+00:00
117,40.3349,CAISO,5min,RTPD,2018-01-02 05:15:00+00:00
118,39.07,CAISO,5min,RTPD,2018-01-02 05:30:00+00:00
119,31.52562,CAISO,5min,RTPD,2018-01-02 05:45:00+00:00
