,Hour Ending,LMP,UTC timestamp,ba_name,freq,market
0,1.0,38.58936,2018-01-01 08:00:00+00:00,CAISO,15-minute,RTPD
1,2.0,38.94974,2018-01-01 08:15:00+00:00,CAISO,15-minute,RTPD
2,3.0,33.75564,2018-01-01 08:30:00+00:00,CAISO,15-minute,RTPD
3,4.0,37.86981,2018-01-01 08:45:00+00:00,CAISO,15-minute,RTPD
4,5.0,40.73195,2018-01-01 09:00:00+00:00,CAISO,15-minute,RTPD
5,6.0,41.78471,2018-01-01 09:15:00+00:00,CAISO,15-minute,RTPD
6,7.0,42.72447,2018-01-01 09:30:00+00:00,CAISO,15-minute,RTPD
7,8.0,39.91908,2018-01-01 09:45:00+00:00,CAISO,15-minute,RTPD
8,9.0,36.79015,2018-01-01 10:00:00+00:00,CAISO,15-minute,RTPD
9,10.0,36.81139,2018-01-01 10:15:00+00:00,CAISO,15-minute,RTPD
10,11.0,30.48704,2018-01-01 10:30:00+00:00,CAISO,15-minute,RTPD
11,12.0,32.36959,2018-01-01 10:45:00+00:00,CAISO,15-minute,RTPD
12,13.0,37.21954,2018-01-01 11:00:00+00:00,CAISO,15-minute,RTPD
13,14.0,36.74227,2018-01-01 11:15:00+00:00,CAISO,15-minute,RTPD
14,15.0,36.7115,2018-01-01 11:30:00+00:00,CAISO,15-minute,RTPD
15,16.0,36.66721,2018-01-01 11:45:00+00:00,CAISO,15-minute,RTPD
16,17.0,36.67847,2018-01-01 12:00:00+00:00,CAISO,15-minute,RTPD
17,18.0,36.67516,2018-01-01 12:15:00+00:00,CAISO,15-minute,RTPD
18,19.0,38.19367,2018-01-01 12:30:00+00:00,CAISO,15-minute,RTPD
19,20.0,38.8378,2018-01-01 12:45:00+00:00,CAISO,15-minute,RTPD
20,21.0,32.73396,2018-01-01 13:00:00+00:00,CAISO,15-minute,RTPD
21,22.0,38.98616,2018-01-01 13:15:00+00:00,CAISO,15-minute,RTPD
22,23.0,38.96726,2018-01-01 13:30:00+00:00,CAISO,15-minute,RTPD
23,24.0,39.9558,2018-01-01 13:45:00+00:00,CAISO,15-minute,RTPD
24,25.0,32.29407,2018-01-01 14:00:00+00:00,CAISO,15-minute,RTPD
25,26.0,39.22186,2018-01-01 14:15:00+00:00,CAISO,15-minute,RTPD
26,27.0,42.33421,2018-01-01 14:30:00+00:00,CAISO,15-minute,RTPD
